"FDID","Fire dept name","HQ addr1","HQ addr2","HQ city","HQ state","HQ zip","Mail addr1","Mail addr2","Mail PO box","Mail city","Mail state","Mail zip","HQ phone","HQ fax","County","Dept Type","Organization Type","Website","Number Of Stations","Active Firefighters - Career","Active Firefighters - Volunteer","Active Firefighters - Paid per Call","Non-Firefighting - Civilian","Non-Firefighting - Volunteer","Primary agency for emergency mgmt"
"23015","Comptche Volunteer Fire Department","8491 Flynn Creek RD",,"Comptche","CA","95427",,,"PO Box 164","Comptche","CA","95427-0164","707-937-2408",,"045","Volunteer",,"https://comptchefire.org/","1","0","32","0","0","0","Yes"
"19040","Compton Fire Department","201 S Acacia AVE",,"Compton","CA","90220-3102","201 S Acacia AVE",,,"Compton","CA","90220-3102","310-605-5670","310-632-8414","037","Mostly career",,"https://www.cityofcompton.gov","4","75","26","0","6","27",
"07805","Concord Federal Fire Department","10 Delta ST","Station 25","Concord","CA","94520","10 Delta ST","Station 25",,"Concord","CA","94520-5000","925-246-4072",,"013","Career",,,"2","25","0","0","0","0",
"07090","Contra Costa County Fire Protection District","4005 Port Chicago HWY","STE 250","Concord","CA","94520-1180","4005 Port Chicago HWY","STE 250",,"Concord","CA","94520-1180","925-941-3300","925-941-3309","013","Mostly career",,"https://www.cccfpd.org/","23","216","0","13","60","0","No"
"47054","Copco Lake Fire Department","27805 Copco RD",,"Montague","CA","96064","27805 Copco RD",,,"Montague","CA","96064","530-459-0434",,"093","Volunteer",,,"0","0","12","0","0","0",
"05020","Copperopolis Fire Protection District","370 Main ST",,"Copperopolis","CA","95228",,,"PO Box 131","Copperopolis","CA","95228-0131","209-785-2393","209-785-2423","009","Mostly volunteer",,,"3","5","25","0","0","6","Yes"
"48055","Cordelia Fire Protection District","2155 Cordelia RD",,"Fairfield","CA","94534-1667","2155 Cordelia RD",,,"Fairfield","CA","94534-1667","707-864-0468","707-864-8607","095","Mostly volunteer",,"https://www.cordeliafire.org/","2","4","20","0","0","1","No"
"52005","Corning Volunteer Fire Department","814 5TH ST",,"Corning","CA","96021-3065","814 5TH ST",,,"Corning","CA","96021-3065","530-824-7044","530-824-7042","103","Mostly volunteer",,,"1","1","35","0","4","0","Yes"
"33025","Corona Fire Department","735 Public Safety WAY",,"Corona","CA","92880",,,"PO Box 940","Corona","CA","92878-0940","951-736-2220","951-736-2497","065","Career",,"https://www.discovercorona.com/City-Departments/Fire-Department.aspx","7","112","0","0","8","10","Yes"
"37045","Coronado Fire Department","1001 6TH ST",,"Coronado","CA","92118","1001 6TH ST",,,"Coronado","CA","92118-1711","619-522-7374","619-435-2742","073","Career",,"https://www.coronado.ca.us/department/?fDD=8-0","2","31","0","0","3","0","Yes"
"27410","Correctional Training Facility Fire Department","Hwy 101 5 Miles North of Soledad","PO Box 686","Soledad","CA","93960",,,"PO Box 686","Soledad","CA","93960-0686","831-678-5550","831-678-5858","053","Mostly volunteer",,,"1","5","6","0","0","0","Yes"
"21015","Corte Madera Fire Department","342 Tamalpais DR",,"Corte Madera","CA","94925","342 Tamalpais DR",,,"Corte Madera","CA","94925-1492","415-927-5077","415-927-5788","041","Mostly career",,"https://www.ci.corte-madera.ca.us/","2","20","6","0","1","0","Yes"
"30020","Costa Mesa Fire & Rescue Department","77 Fair DR","PO Box 1200","Costa Mesa","CA","92628",,,"PO Box 1200","Costa Mesa","CA","92628-1200","714-754-5106","714-754-4944","059","Career",,"https://www.costamesaca.gov/city-hall/city-departments/fire-rescue","6","84","0","0","10","6","Yes"
"34020","Cosumnes Community Services District Fire Department","10573 E Stockton BLVD",,"Elk Grove","CA","95624-9743","10573 E Stockton BLVD",,,"Elk Grove","CA","95624-9743","916-405-7100","916-685-6622","067","Career",,"https://www.yourcsd.com/101/Fire","9","164","0","0","27","0","Yes"
"45035","Cottonwood Fire Protection District","3271 Brush ST",,"Cottonwood","CA","96022",,,"PO Box 618","Cottonwood","CA","96022-0618","530-347-4737","530-347-4771","089","Mostly volunteer",,"https://www.cottonwoodfd.com/","1","3","18","3","1","2","No"
"34015","Courtland Fire Protection District","154 Magnolia AVE",,"Courtland","CA","95615",,,"PO Box 163","Courtland","CA","95615-0163","916-775-1210","916-775-1210","067","Volunteer",,"https://courtlandfire.com/","2","0","0","21","1","0","Yes"
"23020","Covelo Fire Protection District","PO Box 36",,"Covelo","CA","95428-0036",,,"PO Box 36","Covelo","CA","95428-0036","707-983-6719",,"045","Volunteer",,,"1","0","21","0","0","0","Yes"
"08010","Crescent Fire Protection District","255 W Washington BLVD",,"Crescent City","CA","95531-8323","255 W Washington BLVD",,,"Crescent City","CA","95531-8323","707-464-2421","707-464-5813","015","Mostly volunteer",,,"3","1","0","28","1","0",
"36070","Crest Forest Fire Protection District","23407 Crest Forest DR","PO Box 3220","Crestline","CA","92325",,,"PO Box 3220","Crestline","CA","92325-3220","909-338-3311","909-338-3217","071","Mostly volunteer",,"https://www.cffd.org/","7","28","0","35","2","46","Yes"
"07030","Crockett-Carquinez Fire Department","746 Loring AVE",,"Crockett","CA","94525-1236","746 Loring AVE",,,"Crockett","CA","94525-1236","510-787-2717","510-787-2723","013","Volunteer",,,"3","0","0","45","0","0","No"
"19050","Culver City Fire Department","9770 Culver BLVD","PO Box 507","Culver City","CA","90232",,,"PO Box 507","Culver City","CA","90232-0507","310-253-5900","310-253-5901","037","Career",,"https://www.culvercity.org/fire","3","67","0","0","12","0","Yes"
"27024","Cypress Fire Protection District","2221 Garden RD",,"Monterey","CA","93940-5317","2221 Garden RD",,,"Monterey","CA","93940-5317","831-333-4600","831-333-2660","053","Career",,"https://cypressfire.org/","2","18","0","0","0","0","Yes"
"36080","Daggett Volunteer Fire Department","33702  2nd  ST","PO Box 308","Daggett","CA","92327","33702  2nd  ST",,"PO Box 308","Daggett","CA","92327","760-254-5474","760-254-2415","071","Volunteer",,,"3","0","20","0","0","28",
"25030","Davis Creek Volunteer Fire Department","1130 County Road 133B","PO Box 37","Davis Creek","CA","96108-0037",,,"PO Box 37","Davis Creek","CA","96108-0037","530-233-5521",,"049","Volunteer",,,"1","0","12","0","0","0",
"37052","De Luz Volunteer Fire Department","39536 Daily RD",,"Fallbrook","CA","92028","40020 Cathy DR",,,"Fallbrook","CA","92028-9745","760-728-3300","760-728-3140","073","Volunteer",,"https://www.deluzvfd.org/","1","0","20","0","0","10","Yes"
"14017","Death Valley National Park","PO Box 579",,"Death Valley","CA","92328",,,"PO Box 579","Death Valley","CA","92328-0579","760-786-3260",,"027","Mostly volunteer",,"www.nps.gov/deva","2","3","0","12","0","0","Yes"
"37148","Deer Springs Fire Protection District","8709 Circle R DR",,"Escondido","CA","92026-5802","8709 Circle R DR",,,"Escondido","CA","92026-5802","760-749-8001","760-749-6572","073","Career",,"http://www.deerspringsfire.org/","3","25","0","0","1","0","Yes"
"37050","Del Mar Fire Department","2200 Jimmy Durante BLVD",,"Del Mar","CA","92014-2216","2200 Jimmy Durante BLVD",,,"Del Mar","CA","92014-2216","858-755-1522","858-259-2749","073","Mostly volunteer",,"https://www.delmar.ca.us/134/Fire-Department","1","14","0","15","1","0","Yes"
"34130","Delta Fire Protection District","350 Main ST","","Rio Vista","CA","94571","350 Main ST","","PO Box ","Rio Vista","CA","94571","707-374-2233","707-374-6324","095","Mostly volunteer",,"","1","3","12","10","1","2",
"50015","Denair Volunteer Fire Department","3918 Gratton RD","PO Box 262","Denair","CA","95316",,,"PO Box 262","Denair","CA","95316-0262","209-632-5032","209-632-1488","099","Mostly volunteer",,,"1","1","25","0","0","0","Yes"
"33030","Desert Hot Springs Fire Service","65958 Pierson BLVD",,"Desert Hot Springs","CA","92240","65958 Pierson BLVD",,,"Desert Hot Springs","CA","92240","760-329-2458","760-329-6136","065","Mostly volunteer",,,"1","9","0","20","0","0",
"39410","Deuel Vocational Institution Fire Dept","23500 Kasson RD","PO Box 400","Tracy","CA","95378-0400","23500 Kasson RD","PO Box 400","PO Box ","Tracy","CA","95378-0400","209-835-4141","209-830-3804","077","Mostly volunteer",,"","1","5","10","0","0","0",
"09005","Diamond Springs - El Dorado Fire Protection District","501 Main ST","PO Box 741","Diamond Springs","CA","95619",,,"PO Box 741","Diamond Springs","CA","95619-0741","530-626-3190","530-626-3188","017","Mostly volunteer",,,"5","24","35","0","2","0","Yes"
"48015","Dixon Fire Department","205 FORD WAY",,"DIXON","CA","95620-3162","205 Ford WAY",,,"Dixon","CA","95620-3162","707-678-7060","707-678-4251","095","Mostly career",,"http://www.dixonfire.org/","1","24","15","0","2","0","Yes"
"58003","Dobbins/Oregon House Fire Protection District","9162 Marysville Rd","PO Box 164","Oregon House","CA","95962","9162 Marysville Rd","PO Box 164",,"Oregon House","CA","95962","530-692-2255",,"115","Volunteer",,,"1","0","16","0","0","2",
"29080","Donner Summit Fire Department","53823 Sherritt LN","PO Box 610","Soda Springs","CA","95728-0610",,,"PO Box 610","Soda Springs","CA","95728-0610","530-428-3000","530-426-0508","057","Mostly volunteer",,,"2","7","18","4","0","0",
"24010","Dos Palos Fire Department","1540 Golden Gate AVE","","Dos Palos","CA","93620","1540 Golden Gate AVE","","PO Box ","Dos Palos","CA","93620","209-392-2081","209-392-2801","047","Mostly volunteer",,"","1","1","0","15","0","0",
"53001","Douglas City Fire Department","Steiner Flat RD","PO Box 10","Douglas City","CA","96024-0010","Steiner Flat RD",,"PO Box 10","Douglas City","CA","96024","530-623-5110","530-623-9420","105","Volunteer",,,"2","0","15","0","0","2",
"46005","Downieville Fire Protection District","321 Main  ST","PO Box 25","Downieville","CA","95936",,,"PO Box 25","Downieville","CA","95936-0025","530-289-3333","530-289-0114","091","Volunteer",,,"1","0","20","0","0","17","Yes"
"53002","Downriver Volunteer Fire Company","70 Fire House RD",,"Big Bar","CA","96010",,,"PO Box 608","Big Bar","CA","96010-0608","530-623-2257",,"105","Volunteer",,,"1","0","7","0","0","0","Yes"
"18015","Doyle Fire Protection District","747-150 E Main ST","PO Box 189","Doyle","CA","96109-0189","747-150 E Main ST","PO Box 189",,"Doyle","CA","96109-0189","530-827-2681","530-827-2681","035","Volunteer",,,"1","0","13","0","0","0",
"49046","Dry Creek Rancheria Fire Department","3250 Highway 128",,"Geyserville","CA","95441-8908","3250 Highway 128",,,"Geyserville","CA","95441-8908","707-814-4390",,"097","Mostly volunteer",,"www.dcrfire.org","1","7","20","0","0","1","Yes"
"57040","Dunnigan Fire Protection District","29145 Main ST",,"Dunnigan","CA","95937",,,"PO Box 213","Dunnigan","CA","95937-0213","530-724-3515","530-724-3511","113","Mostly volunteer",,"https://www.dunniganfire.com/","1","3","30","0","1","5","Yes"
"47010","Dunsmuir Fire Department","5902 Dunsmuir AVE",,"Dunsmuir","CA","96025","5902 Dunsmuir AVE",,,"Dunsmuir","CA","96025","530-235-2551","530-235-0617","093","Volunteer",,,"1","0","28","0","0","0",
"01080","East Bay Regional Park District Fire Department","17930 Lake Chabot RD",,"Castro Valley","CA","94546-1950","17930 Lake Chabot RD",,,"Castro Valley","CA","94546-1950","510-690-6600",,"001","Mostly volunteer",,"https://www.ebparks.org/about/fire/","2","17","0","35","2","0","No"
"07015","East Contra Costa Fire Protection District","134 Oak ST",,"Brentwood","CA","94513","134 Oak ST",,,"Brentwood","CA","94513","925-634-3400","925-634-1423","013","Mostly career",,"https://www.eccfpd.org","9","54","0","30","2","0",
"37020","East County Fire Prevention District","1811 Suncrest BLVD",,"El Cajon","CA","92021-4246","1811 Suncrest BLVD",,,"El Cajon","CA","92021-4246","619-579-6034","619-579-1148","073","Mostly volunteer",,"https://www.eastcountyfire.org/","2","19","25","0","2","3",
"46555","East Zone Tahoe National Forest Fire Department","317 Lincoln S",,"Sierraville","CA","96126",,,"PO Box 95","Sierraville","CA","96126-0095","530-994-3401","530-994-3143","091","Career",,,"5","45","0","0","20","0","No"
"32075","Eastern Plumas Rural Fire Protection District","141 Delleker RD",,"Portola","CA","96122-7034","141 Delleker RD",,,"Portola","CA","96122-7034","530-832-5626","530-832-5446","063","Volunteer",,,"4","0","17","0","1","5","No"
"05015","Ebbetts Pass Fire Department","1028 Manuel RD","PO Box 66","Arnold","CA","95223-0066",,,"PO Box 66","Arnold","CA","95223-0066","209-795-1646","209-795-3460","009","Mostly volunteer",,,"4","13","35","0","1","0",
"15830","Edwards Air Force Base Fire & Emergency Services","225 Rosamond BLVD",,"Edwards AFB","CA","93524-8502","225 Rosamond BLVD",,,"Edwards AFB","CA","93524-8502","661-277-4449","661-277-4907","029","Career",,,"5","108","0","0","7","0","Yes"
"37055","El Cajon Fire Department","100 E Lexington AVE",,"El Cajon","CA","92020","100 E Lexington AVE",,,"El Cajon","CA","92020-4517","619-441-1600","619-441-1648","073","Mostly career",,"https://elcajonfire.com/","4","70","15","0","2","0","Yes"
"13020","El Centro Fire Department","1910 N Waterman AVE",,"El Centro","CA","92243-1230","1910 N Waterman AVE",,,"El Centro","CA","92243-1230","760-337-4530","760-337-4501","025","Career",,"https://www.cityofelcentro.org/fire/","3","38","0","0","3","0","Yes"
"07040","El Cerrito Fire Department","10900 San Pablo AVE",,"El Cerrito","CA","94530-2387","10900 San Pablo AVE",,,"El Cerrito","CA","94530-2387","510-215-4450","510-232-4917","013","Career",,"https://www.el-cerrito.org/index.aspx?nid=133","2","37","0","0","0","0","Yes"
"09012","El Dorado County Fire Protection District","4040 Carson RD",,"Camino","CA","95709",,,"PO Box 807","Camino","CA","95709-0807","530-644-9630","530-644-9636","017","Mostly career",,"https://www.eldoradocountyfire.com/","15","89","25","0","9","0","Yes"
"09015","El Dorado Hills Fire Department","1050 Wilson BLVD",,"El Dorado Hills","CA","95762","1050 Wilson BLVD",,,"El Dorado Hills","CA","95762-7263","916-933-6623","916-933-5983","017","Career",,"https://www.edhfire.com","5","66","0","0","6","0","No"
"04025","El Medio Fire Department","3515 Myers ST",,"Oroville","CA","95966","3515 Myers ST",,,"Oroville","CA","95966-6654","530-533-4484","530-533-9606","007","Mostly career",,,"1","10","7","0","1","1","No"
"19065","El Segundo Fire Department","314 Main ST",,"El Segundo","CA","90245","314 Main ST",,,"El Segundo","CA","90245-3850","310-524-2395","310-414-0929","037","Career",,"https://www.elsegundo.org/","2","57","0","0","11","0","Yes"
"09565","Eldorado National Forest","100 Forni RD",,"Placerville","CA","95667","100 Forni RD",,,"Placerville","CA","95667","530-622-5061","530-621-5297","017","Career",,,"12","180","0","0","0","0",
"49490","Eldridge Fire Department","15000 Arnold DR",,"Eldridge","CA","95431-8900","15000 Arnold DR",,,"Eldridge","CA","95431-8900","707-938-6333",,"097","Career",,,"1","8","0","0","0","0","Yes"
"37057","Elfin Forest/ Harmony Grove Fire Department","20223 Elfin Forest RD",,"Escondido","CA","92029","20223 Elfin Forest RD",,,"Escondido","CA","92029-4711","760-744-2186","760-744-9504","073","Mostly volunteer",,,"1","1","35","0","0","20","Yes"
"23025","Elk Volunteer Fire Department","End of Louisa ST","PO Box 185","Elk","CA","95432-0185",,,"PO Box 185","Elk","CA","95432-0185","707-877-3444",,"045","Volunteer",,"https://www.mcn.orgli/elkfire","4","0","22","0","0","4",
"57060","Elkhorn Fire Protection District","19396 County Road 124",,"West Sacramento","CA","95691-8002","19396 County Road 124",,,"West Sacramento","CA","95691-8002","000-000-0000",,"113","Volunteer",,,"1","0","8","8","0","10","Yes"
"01035","Emeryville Fire Department","2333 Powell ST",,"Emeryville","CA","94608","2333 Powell ST",,,"Emeryville","CA","94608","510-596-3750","510-420-1785","001","Career",,,"2","30","0","0","0","0",
"37065","Encinitas Fire Department","505 S Vulcan AVE",,"Encinitas","CA","92024-3633","505 S Vulcan AVE",,,"Encinitas","CA","92024-3633","760-633-2800","760-633-2818","073","Career",,"https://encinitasca.gov/Government/Departments/Public-Safety","6","52","0","0","8","0","Yes"
"39025","Escalon Consolidated Fire District","1749 Coley AVE",,"Escalon","CA","95320-1901","1749 Coley AVE",,,"Escalon","CA","95320-1901","209-838-7500","209-838-3926","077","Mostly volunteer",,"https://www.escalonfire.com","2","6","20","0","1","0",
"37070","Escondido Fire Department","201 N Broadway",,"Escondido","CA","92025","201 N Broadway",,,"Escondido","CA","92025-2709","760-839-5400","760-739-7060","073","Career",,"https://www.ci.escondido.ca.us/fire/","7","90","0","0","10","0","Yes"
"57045","Esparto Fire Protection District","16960 Yolo AVE","PO Box 366","Esparto","CA","95627-0366",,,"PO Box 366","Esparto","CA","95627-0366","530-787-3300","530-787-3298","113","Mostly volunteer",,"https://www.espartofire.org/","1","1","20","0","1","0","Yes"
"47020","Etna Fire Department","400 Main ST","PO Box 460","Etna","CA","96027-0460","400 Main ST",,"PO Box 460","Etna","CA","96027-0460","530-467-3295","530-467-3217","093","Volunteer",,,"1","0","16","1","0","6",
"54015","Exeter Fire Department","137 N F ST",,"Exeter","CA","93221","137 N F ST",,,"Exeter","CA","93221","559-592-3714","559-592-3556","107","Mostly volunteer",,,"1","2","0","23","0","0",
"48025","Fairfield Fire Department","1633 Union  AVE",,"Fairfield","CA","94533","1633 Union  AVE",,,"Fairfield","CA","94533","707-428-7375","707-399-0860","095","Mostly career",,"https://www.ci.fairfield.ca.us","5","57","30","0","7","5",
"36017","Fairview Valley Fire Department","15215 Sherri LN",,"Apple Valley","CA","92307","15215 Sherri LN",,,"Apple Valley","CA","92307","760-240-4731",,"071","Volunteer",,,"1","0","30","30","0","0",
"45040","Fall River Mills Fire Department","43155 Highway 299 E","PO Box 582","Fall River Mills","CA","96028",,,"PO Box 582","Fall River Mills","CA","96028-0582","530-336-6117","530-336-6117","089","Mostly volunteer",,,"1","1","19","0","2","0","Yes"
"09017","Fallen Leaf Fire Department","241 Fallen Leaf RD","400 Fallen Leaf RD","South Lake Tahoe","CA","96158",,,"PO Box 9415","South Lake Tahoe","CA","96158-2415","530-544-3300",,"017","Mostly volunteer",,"https://www.fllcsd.org","2","8","20","0","1","1","Yes"
"39030","Farmington Fire Department","25474 E Hwy 4",,"Farmington","CA","95230","25474 E Hwy 4",,"PO Box 25","Farmington","CA","95230","209-886-5321","209-886-1031","077","Volunteer",,,"1","0","23","0","1","0",
"56810","Federal Fire Ventura County","613 South Laguna Rd","Code N30","Point Mugu","CA","93042","613 S Laguna Rd","Code N30",,"Point Mugu NAWC","CA","93042","805-989-7034","805-989-8302","111","Career",,,"4","71","0","0","0","0","No"
"44035","Felton Fire Protection District","131 Kirby ST",,"Felton","CA","95018-9144","131 Kirby ST",,,"Felton","CA","95018-9144","831-335-4422","831-335-2635","087","Mostly volunteer",,"https://www.feltonfire.com/","1","1","30","0","1","0","Yes"
"12055","Ferndale Fire Protection District","436 Brown ST","PO Box 485","Ferndale","CA","95536","436 Brown ST","PO Box 485",,"Ferndale","CA","95536","707-786-9909","707-786-4566","023","Volunteer",,,"1","0","35","0","0","0",
"12020","Fieldbrook Volunteer Fire Department","4584 Fieldbrook RD",,"Fieldbrook","CA","95519","4584 Fieldbrook RD",,,"Fieldbrook","CA","95519","707-839-0931",,"023","Volunteer",,,"1","0","20","0","0","0",
"10035","Fig Garden Fire Protection District","210 S Academy AVE",,"Sanger","CA","93657","210 S Academy AVE",,,"Sanger","CA","93657","559-485-7500","559-875-8473","019","Mostly volunteer",,,"1","6","0","8","0","0",
"36820","Fire & Emergency Services, MCLB Barstow","236 Boll AVE","Marine Corps Logistics Base","Barstow","CA","92311",,,"PO Box 110700","Barstow","CA","92311","760-577-6732","760-577-6805","071","Career",,,"2","52","0","0","2","0",
"40005","Five Cities Fire Authority","140 Traffic Way",,"Arroyo Grande","CA","93420","140 Traffic Way",,,"Arroyo Grande","CA","93420-3376","805-473-5490","805-489-0348","079","Mostly volunteer",,,"3","15","0","20","5","1","Yes"
"34035","Folsom Fire Department","535 Glenn DR",,"Folsom","CA","95630-3187","535 Glenn DR",,,"Folsom","CA","95630-3187","916-461-6300","916-984-7081","067","Career",,"https://www.folsom.ca.us/","5","70","0","0","7","0","Yes"
"34410","Folsom Prison Fire Department","300 Prison RD","Box 71","Folsom","CA","95630","300 Prison RD","Box 71","PO Box ","Folsom","CA","95630","916-351-3033","916-351-3040","067","Mostly volunteer",,"","1","6","0","14","1","0",
"05040","Foothill Fire Protection District","3255 Helisma RD",,"Burson","CA","95225",,,"PO Box 193","Valley Springs","CA","95252-0193","209-772-0202","209-772-0202","009","Mostly volunteer",,"https://www.foothillfire.org","2","3","20","0","1","0","No"
"58004","Foothill Fire Protection District","16796 Willow Glen RD","PO Box 332","Brownsville","CA","95919",,,"PO Box 332","Brownsville","CA","95919-0332","530-675-0633","530-675-0633","115","Volunteer",,"http://ffpd.net/","2","0","13","0","0","1","Yes"
"31040","Foresthill Fire Protection District","24320 Main ST",,"Foresthill","CA","95631",,,"PO Box 1099","Foresthill","CA","95631-1099","530-367-2465","530-367-3498","061","Mostly career",,"https://www.foresthillfire.org/","4","12","0","5","2","0","Yes"
"49050","Forestville Fire Protection District","6554 Mirabel RD",,"Forestville","CA","95436",,,"PO Box 427","Forestville","CA","95436-0427","707-887-2212","707-887-1862","097","Mostly volunteer",,"https://www.forestvillefire.org/","1","7","0","23","0","0","Yes"
"25040","Fort Bidwell Indian Community Council","130 Meetheeuh Road",,"Fort Bidwell","CA","96112",,,"PO Box 129","Fort Bidwell","CA","96112","530-279-2266",,"049","Volunteer",,,"1","0","4","0","0","2",
"23030","Fort Bragg Fire Department","141 N Main ST",,"Fort Bragg","CA","95437","141 N Main ST",,,"Fort Bragg","CA","95437","707-961-2831","707-961-2821","045","Mostly volunteer",,"https://www.fortbraggfire.com","0","3","41","0","1","0",
"08015","Fort Dick Fire Protection District","6534 Kings Valley RD","PO Box 369","Fort Dick","CA","95538",,,"PO Box 369","Fort Dick","CA","95538-0369","707-487-8185",,"015","Mostly volunteer",,,"2","1","20","0","0","0","Yes"
"27800","Fort Hunter Liggett Fire Department","120 Infantry RD","BLDG T120","Fort Hunter Liggett","CA","93928","120 Infantry RD","BLDG T120",,"Fort Hunter Liggett","CA","93928","831-386-3610","831-386-3245","053","Career",,,"2","44","0","0","0","0","Yes"
"36750","Fort Irwin Fire Department","BLDG 6101 Southloop RD","PO Box 105057","Fort Irwin","CA","92310",,,"PO Box 105057","Fort Irwin","CA","92310-5057","760-380-2584","760-380-7103","071","Career",,"https://www.ntc-iapws.com/fire.html","3","54","0","0","19","0","No"
"47025","Fort Jones Volunteer Fire Department","31 Newton ST",,"Fort Jones","CA","96032",,,"PO Box 597","Fort Jones","CA","96032-0597","530-468-2261","530-468-2966","093","Volunteer",,,"1","0","24","2","0","2","Yes"
"12060","Fortuna Volunteer Fire Department","320 N Fortuna BLVD","PO Box 614","Fortuna","CA","95540-0614","320 N Fortuna BLVD",,"PO Box 614","Fortuna","CA","95540-0614","707-725-5021","707-725-9058","023","Volunteer",,"https://www.fortunafire.com","3","0","63","0","0","0",
"41040","Foster City Fire Department","1040 E Hillsdale BLVD",,"Foster City","CA","94404","1040 E Hillsdale BLVD",,,"Foster City","CA","94404-1604","650-286-3350","650-341-7305","081","Career",,"https://www.fostercity.org/services/safety/fire/","1","40","0","0","3","0","Yes"
"10025","Fowler Fire Department","128 S 5th ST",,"Fowler","CA","93625","128 S 5th ST",,,"Fowler","CA","93625","559-834-3113","559-834-1284","019","Volunteer",,,"1","0","11","0","0","0",
"01040","Fremont Fire Department","3300 Capitol AVE BLDG A",,"Fremont","CA","94538",,,"PO Box 5006","Fremont","CA","94537-5006","510-494-4200","510-494-4287","001","Career",,"https://www.fremont.gov/96/Fire-Department","11","141","0","0","18","60","Yes"
"39085","French Camp-McKinley Fire District","310 E French Camp RD",,"French Camp","CA","95231",,,"PO Box 790","French Camp","CA","95231-0790","209-982-0721","209-982-4485","077","Mostly volunteer",,"https://frcfire.com/","1","9","0","12","3","0","No"
"F3021","Fresno Air National Guard Fire Department","5323 E McKinley AVE",,"Fresno","CA","93727","5323 E McKinley AVE",,,"Fresno","CA","93727-2197","559-454-5145","559-454-5345","019","Career",,,"1","22","0","0","0","0","Yes"
"10032","Fresno County Fire Protection District","210 S Academy AVE",,"Sanger","CA","93657-9306","210 S Academy AVE",,,"Sanger","CA","93657-9306","559-493-4300","559-875-8473","019","Mostly career",,"https://fresnocountyfire.org/","18","100","0","43","10","0","Yes"
"10031","Fresno Yosemite Intl Airport Public Safety","4995 E Clinton WAY","5065 E Andersen","Fresno","CA","93727-1537","4995 E Clinton WAY","5065 E Andersen",,"Fresno","CA","93727-1537","559-498-4090","559-498-4097","019","Career",,"https://www.flyfresno.org","1","15","0","0","2","0",
"12155","Fruitland Volunteer Fire Company, Inc.","75 Kelsey LN",,"Myers Flat","CA","95554-9502",,,"PO Box 87","Myers Flat","CA","95554-0087","707-943-3402","707-943-3335","023","Volunteer",,,"1","0","5","0","0","5",
"30030","Fullerton Fire Department","312 E Commonwealth AVE",,"Fullerton","CA","92832","312 E Commonwealth AVE",,,"Fullerton","CA","92832","714-738-6500","714-738-5355","059","Career",,"www.ci.fullerton.ca.us/fire","6","84","0","0","18","0",
"12065","Garberville Fire Protection District","680 Locust ST",,"Garberville","CA","95542-3228",,,"PO Box 288","Garberville","CA","95542-0288","707-923-3196",,"023","Volunteer",,,"1","0","14","0","0","0",
"30035","Garden Grove Fire Department","11301 Acacia PKWY",,"Garden Grove","CA","92842",,,"PO Box 3070","Garden Grove","CA","92842-3070","714-741-5600","714-741-5640","059","Career",,"https://www.ci.garden-grove.ca.us/fire","7","97","0","0","5","4","Yes"
"09100","Garden Valley Fire Protection District","4860 Marshall RD","PO Box 408","Garden Valley","CA","95633","4860 Marshall RD",,"PO Box 408","Garden Valley","CA","95633","530-333-1240","530-333-2023","017","Mostly volunteer",,,"3","4","18","1","1","15",
"08020","Gasquet Fire Department","100 Firehouse  RD","PO Box 85","Gasquet","CA","95543-0085",,,"PO Box 85","Gasquet","CA","95543-0085","707-457-3332",,"015","Volunteer",,,"1","0","14","0","0","2",
"47030","Gazelle Fire Protection District","18338 Old Highway 99","PO Box 2","Gazelle","CA","96034-0002",,,"PO Box 2","Gazelle","CA","96034-0002","530-435-2331","530-435-2265","093","Volunteer",,,"1","0","5","0","0","1",
"37240","General Dynamics NASSCO - Fire Department","2798 East Harbor DR",,"San Diego","CA","92113",,,"PO Box 85278","San Diego","CA","92186-5278","619-544-8889","619-544-3657","073","Career",,,"1","13","0","0","0","0","No"
"09020","Georgetown Fire Department","6283 Main ST",,"Georgetown","CA","95634",,,"PO Box 420","Georgetown","CA","95634-0420","530-333-4111","530-333-4020","017","Mostly volunteer",,"https://geofire.org/","5","8","24","0","1","1","Yes"
"52010","Gerber Fire Department","327 San Benito AVE",,"Gerber","CA","96035-2100","327 San Benito AVE",,,"Gerber","CA","96035-2100","530-385-1549","530-385-2763","103","Volunteer",,,"1","0","10","0","0","0",
"43010","Gilroy Fire Department","7070 Chestnut ST",,"Gilroy","CA","95020-6610","7070 Chestnut ST",,,"Gilroy","CA","95020-6610","408-846-0370","408-848-0379","085","Career",,"http://www.ci.gilroy.ca.us/165/Fire-Department","3","39","0","0","2","0","Yes"
"49060","Glen Ellen Fire Department","13445 Arnold DR",,"Glen Ellen","CA","95442-9303","13445 Arnold DR",,,"Glen Ellen","CA","95442-9303","707-996-9266","707-996-4937","097","Mostly volunteer",,,"2","2","32","0","1","1","No"
"19075","Glendale Fire Department","421 Oak ST",,"Glendale","CA","91204-1206","421 Oak ST",,,"Glendale","CA","91204-1206","818-548-4814","818-547-1031","037","Career",,"https://www.glendaleca.gov/government/departments/fire-department/","9","166","0","0","105","0","Yes"
"11025","Glenn-Codora Fire Protection District","1516 Highway 45",,"Glenn","CA","95943",,,"PO Box 165","Glenn","CA","95943-0165","000-000-0000",,"021","Volunteer",,,"1","0","24","0","0","6",
